code,name_of_the_station,uf,january,february,march,april,may,june,july,august,september,october,november,december,year,longitude,latitude
83678,JABOTICABAL,SP,262.1,210.1,176.3,79.8,57.8,28.8,16.8,29.2,58.1,133.8,160.7,230.8,1444.3,-48.3,-21.25
83716,PRESIDENTE PRUDENTE,SP,232.5,172.2,138.3,73,82.6,48.3,39.7,42.7,84.2,121,129.6,175.6,1339.7,-51.38333333,-22.11666666
83782,SANTOS,SP,206.7,203.2,257.3,180.3,123.2,123.1,102.4,73.6,145.1,137.5,110.4,181.1,1843.9,-46.33333333,-23.93333333
83726,SAO CARLOS,SP,303.8,221.1,186.7,85.4,66.8,32.1,30.6,34.4,67.1,120.6,155.1,254.6,1558.3,-47.86666666,-21.96666666
83781,SAO PAULO(MIR.de SANTANA),SP,288.2,246.2,214.5,82.1,78.1,50.3,47.8,36,84.8,126.6,137,224.4,1616,-46.61972221,-23.4961111
83669,SAO SIMAO,SP,271.6,204.3,156.7,66.3,63.3,24.1,20,25.6,68.6,129.1,165.2,255.7,1450.5,-47.55,-21.48333333
83851,SOROCABA,SP,284.2,155.5,142.9,64.7,82.5,54.5,55.7,31.9,67.9,100.6,131.5,183.7,1355.6,-47.43333333,-23.48333333
83784,TAUBATE,SP,238.1,197.3,163.6,78.6,55.8,26.7,37.9,26.4,79.6,118.2,160.7,178,1360.9,-45.55,-23.03333333
83786,UBATUBA,SP,312.9,290.5,311.1,232.5,122.9,94.2,92.6,74.4,196.9,245.5,263.6,280.4,2517.5,-45.06666666,-23.45
83623,VOTUPORANGA,SP,291.3,200.8,152.1,84.1,56.4,21.8,16.4,18.1,60.2,103.8,138.8,200.8,1344.6,-49.98333333,-20.41666666
82659,ARAGUAINA,TO,250.1,268.6,294.6,237.8,98.2,20,8.2,14.3,62.5,139.7,192.1,232.9,1819,-48.2,-7.2
83033,PALMAS,TO,285.4,274.3,292.8,175.4,69.7,6.9,1.2,1.9,55.7,161.1,243.6,263.6,1831.6,-48.30166666,-10.19083333
82863,PEDRO AFONSO,TO,277.5,219.7,275.8,172.6,53.6,4.3,3.6,8.8,44.8,147.8,216.4,247.8,1672.7,-48.18333333,-8.96666667
83228,PEIXE,TO,286.3,203.1,249.7,132,22.2,4.7,0.8,1.7,33.2,108.4,191,275.3,1508.4,-48.35,-12.01666667
83064,PORTO NACIONAL,TO,255.7,237.9,269.3,166.3,47.7,3.1,1,5.2,50.3,141.6,186.9,257.7,1622.7,-48.41666667,-10.71666667
83235,TAGUATINGA,TO,286.6,208.5,277.7,138.3,34.5,2.9,1,2.1,21.1,123.8,223.8,291.2,1611.5,-46.41666666,-12.4
